Output Noise (V^2/Hz) (timeindex=1.95e-09) X,Output Noise (V^2/Hz) (timeindex=1.95e-09) Y
100,1.43400001802928e-10
125.8925411794167,1.433941282284003e-10
158.4893192461114,1.433848202258222e-10
199.526231496888,1.433700705108925e-10
251.1886431509581,1.43346700003016e-10
316.227766016838,1.433096758471133e-10
398.1071705534974,1.432510356750783e-10
501.1872336272725,1.431581955032129e-10
630.9573444801935,1.430112999944619e-10
794.3282347242819,1.427791028111188e-10
1000,1.42412635610294e-10
1258.925411794168,1.418356620749219e-10
1584.893192461114,1.4093073605645e-10
1995.262314968881,1.395199411065331e-10
2511.886431509582,1.373409365196496e-10
3162.277660168381,1.340234989806331e-10
3981.071705534975,1.290818944144843e-10
5011.872336272726,1.219552142792926e-10
6309.573444801937,1.121424420792744e-10
7943.282347242821,9.945905337856726e-11
10000.00000000001,8.434077595085156e-11
12589.25411794168,6.796680749527713e-11
15848.93192461115,5.197466607864916e-11
19952.62314968881,3.785721895071564e-11
25118.86431509583,2.646455233849914e-11
31622.77660168383,1.791840622194418e-11
39810.71705534977,1.185239904523856e-11
50118.72336272729,7.713774386749445e-12
63095.7344480194,4.965785965408733e-12
79432.82347242825,3.173914279403609e-12
100000.0000000001,2.019257072773094e-12
125892.5411794169,1.280883159171445e-12
158489.3192461116,8.110195745873396e-13
199526.2314968883,5.129538893682382e-13
251188.6431509584,3.242451736948443e-13
316227.7660168384,2.049213594586416e-13
398107.1705534979,1.295306685013026e-13
500000,8.230864209418166e-14
